ANode,BNode,LINK_TYPE,DISTANCE,ONE_WAY
100272,100274,11,1.01333,0
100273,100411,11,1.61594,0
100273,100412,11,0.3236,0
100274,100239,11,4.16809,0
100274,100272,11,1.01333,0
100275,100416,11,1.30724,0
100275,100427,11,3.47057,0
100276,100250,11,2.67599,0
100276,100269,11,1.59228,0
100277,100270,11,1.7038,0
100277,100271,11,1.42393,0
100278,100279,11,1.07853,0
100278,100410,11,5.70648,0
100279,100278,11,1.07853,0
100279,100394,11,8.74964,0
100280,100252,11,8.38353,0
100280,100393,11,9.81531,0
100281,100078,11,3.44603,0
100281,100383,11,4.52343,0
100282,100360,11,4.05055,0
100283,100284,11,2.70801,0
100283,100292,11,5.45923,0
100284,100283,11,2.70801,0
100284,100285,11,4.95858,0
100285,100265,11,2.95795,0
100285,100284,11,4.95858,0
100286,100259,11,3.65439,0
100286,100360,11,9.39958,0
100287,100296,11,4.49851,0
100287,100393,11,6.81133,0
100288,100383,11,12.9521,0
100288,100391,11,1.21433,0
100289,100296,11,4.58332,0
100289,100390,11,2.06761,0
100290,100390,11,0.76686,0
100290,100391,11,0.58073,0
100290,100392,11,0.66577,0
100291,100340,11,76.379,0
100291,100359,11,0.52925,0
100291,100361,11,0.76513,0
100292,100283,11,5.45923,0
100292,100293,11,3.55203,0
100293,100292,11,3.55203,0
100293,100295,11,4.19093,0
100294,100299,11,6.36273,0
100294,100601,11,3.97028,0
100295,100293,11,4.19093,0
100295,100297,11,2.70993,0
100296,100287,11,4.49851,0
100296,100289,11,4.58332,0
100296,100389,11,0.57917,0
100297,100295,11,2.70993,0
100297,100298,11,4.64852,0
100298,100297,11,4.64852,0
100298,100358,11,2.85429,0
100299,100294,11,6.36273,0
100299,100300,11,3.38968,0
100300,100299,11,3.38968,0
100300,100357,11,6.80827,0
100301,100356,11,8.09723,0
100301,100389,11,7.63579,0
100302,100309,11,3.56073,0
100302,100312,11,3.75511,0
100303,100305,11,2.73114,0
100303,100318,11,1.39997,0
100304,100305,11,7.33311,0
100304,100358,11,1.87228,0
100305,100303,11,2.73114,0
100305,100304,11,7.33311,0
100306,100355,11,1.64918,0
100306,100800,11,1.53304,0
100307,100355,11,2.16909,0
100307,100357,11,5.83713,0
100308,100310,11,3.09656,0
100308,100317,11,0.56922,0
100309,100302,11,3.56073,0
100309,100373,11,1.48782,0
100310,100308,11,3.09656,0
100310,100371,11,2.83921,0
100311,100313,11,0.99645,0
100311,100372,11,0.48263,0
100311,100373,11,0.71529,0
100312,100302,11,3.75511,0
100312,100316,11,5.18222,0
100313,100311,11,0.99645,0
100313,100314,11,5.09439,0
100314,100313,11,5.09439,0
100314,100322,11,4.43403,0
100315,100316,11,3.56572,0
100315,100325,11,3.27506,0
100316,100312,11,5.18222,0
100316,100315,11,3.56572,0
100317,100308,11,0.56922,0
100317,100356,11,7.08682,0
100317,100800,11,5.71724,0
100318,100303,11,1.39997,0
100318,100352,11,1.5693,0
100319,100350,11,0.98361,0
100319,100351,11,0.73012,0
100319,100355,11,1.99908,0
100320,100330,11,5.48796,0
100320,100348,11,1.94064,0
100321,100322,11,4.17451,0
100321,100323,11,5.02923,0
100322,100314,11,4.43403,0
100322,100321,11,4.17451,0
100323,100321,11,5.02923,0
100323,100324,11,7.16311,0
100324,100323,11,7.16311,0
100324,100375,11,0.51348,0
100324,100376,11,0.74023,0
100325,100315,11,3.27506,0
100325,100374,11,7.71027,0
100326,100327,11,3.05284,0
100326,100329,11,3.99958,0
100327,100326,11,3.05284,0
100327,100331,11,5.97476,0
100328,100345,11,1.06648,0
100328,100346,11,0.7644,0
100328,100354,11,8.32037,0
100329,100326,11,3.99958,0
100329,100330,11,2.78437,0
100330,100320,11,5.48796,0
100330,100329,11,2.78437,0
100330,100347,11,0.71477,0
100331,100327,11,5.97476,0
100331,100332,11,7.28997,0
100332,100331,11,7.28997,0
100332,100343,11,0.71093,0
100333,100343,11,6.57466,0
100334,100342,11,38.0852,0
100335,100337,11,41.2048,0
100336,100103,11,19.8828,0
100336,100337,11,19.7256,0
100337,100335,11,41.2048,0
100337,100336,11,19.7256,0
100338,100254,11,42.2621,0
100338,100339,11,24.8995,0
100339,100338,11,24.8995,0
100339,100362,11,12.7135,0
100340,100291,11,76.379,0
100340,100341,11,27.4133,0
100341,100340,11,27.4133,0
100341,100362,11,1.63157,0
100342,100334,11,38.0852,0
100342,100343,11,17.6017,0
100343,100332,11,0.71093,0
100343,100333,11,6.57466,0
100343,100342,11,17.6017,0
100344,100345,11,0.18946,0
100344,100750,11,1.08324,0
100345,100328,11,1.06648,0
100345,100344,11,0.18946,0
100345,100346,11,0.85219,0
100346,100328,11,0.7644,0
100346,100345,11,0.85219,0
100346,100347,11,0.21789,0
100347,100330,11,0.71477,0
100347,100346,11,0.21789,0
100348,100320,11,1.94064,0
100348,100349,11,0.20277,0
100349,100348,11,0.20277,0
100349,100350,11,0.58448,0
100349,100353,11,2.45797,0
100350,100319,11,0.98361,0
100350,100349,11,0.58448,0
100350,100351,11,0.86858,0
100351,100319,11,0.73012,0
100351,100350,11,0.86858,0
100351,100354,11,1.08128,0
100352,100318,11,1.5693,0
100352,100353,11,0.03124,0
100353,100349,11,2.45797,0
100353,100352,11,0.03124,0
100353,100354,11,0.93919,0
100354,100328,11,8.32037,0
100354,100351,11,1.08128,0
100354,100353,11,0.93919,0
100355,100306,11,1.64918,0
100355,100307,11,2.16909,0
100355,100319,11,1.99908,0
100356,100301,11,8.09723,0
100356,100317,11,7.08682,0
100356,100357,11,6.52332,0
100357,100300,11,6.80827,0
100357,100307,11,5.83713,0
100357,100356,11,6.52332,0
100358,100298,11,2.85429,0
100358,100304,11,1.87228,0
100358,100361,11,25.2604,0
100359,100291,11,0.52925,0
100359,100360,11,4.07572,0
100359,100361,11,0.86292,0
100360,100282,11,4.05055,0
100360,100286,11,9.39958,0
100360,100359,11,4.07572,0
100361,100291,11,0.76513,0
100361,100358,11,25.2604,0
100361,100359,11,0.86292,0
100362,100339,11,12.7135,0
100362,100341,11,1.63157,0
100363,100226,11,11.7742,0
100363,100364,11,7.14304,0
100364,100167,11,17.1915,0
100364,100363,11,7.14304,0
100364,100366,11,15.1696,0
100365,100132,11,5.79157,0
100365,100133,11,0.10198,0
100366,100148,11,0.20341,0
100366,100364,11,15.1696,0
100367,100107,11,1.66751,0
100367,100108,11,5.43962,0
100367,100448,11,0.03415,0
100368,100105,11,2.31578,0
100368,100107,11,1.22886,0
100368,100448,11,1.50893,0
100369,100106,11,1.27348,0
100369,100110,11,0.13927,0
100370,100122,11,1.31924,0
100370,100144,11,0.68929,0
100371,100310,11,2.83921,0
100371,100372,11,0.27046,0
100372,100311,11,0.48263,0
100372,100371,11,0.27046,0
100372,100373,11,0.71141,0
100373,100309,11,1.48782,0
100373,100311,11,0.71529,0
100373,100372,11,0.71141,0
100374,100325,11,7.71027,0
100374,100375,11,0.63796,0
100375,100324,11,0.51348,0
100375,100374,11,0.63796,0
100375,100376,11,0.73958,0
100376,100085,11,3.83814,0
100376,100324,11,0.74023,0
100376,100375,11,0.73958,0
100377,100085,11,9.47869,0
100377,100086,11,0.06958,0
100378,100083,11,25.3441,0
100378,100084,11,2.89201,0
100378,100089,11,27.8214,0
100379,100089,11,4.64509,0
100379,100090,11,12.3927,0
100379,100091,11,1.00848,0
100380,100030,11,0.27605,0
100380,100381,11,0.48378,0
100380,100447,11,0.0542,0
100381,100030,11,0.51126,0
100381,100380,11,0.48378,0
100381,100382,11,0.54921,0
100382,100037,11,43.9649,0
100382,100038,11,23.257,0
100382,100381,11,0.54921,0
100383,100281,11,4.52343,0
100383,100288,11,12.9521,0
100383,100500,11,10.54508,0
100384,100027,11,0.44041,0
100384,100700,11,3.93,0
100385,100064,11,1.03182,0
100386,100069,11,14.1145,0
100386,100070,11,0.13916,0
100387,100125,11,1.76316,0
100387,100146,11,0.35715,0
100388,100141,11,0.64698,0
100388,100142,11,0.05374,0
100389,100296,11,0.57917,0
100389,100301,11,7.63579,0
100390,100289,11,2.06761,0
100390,100290,11,0.76686,0
100391,100288,11,1.21433,0
100391,100290,11,0.58073,0
100391,100392,11,0.83397,0
100392,100290,11,0.66577,0
100392,100391,11,0.83397,0
100392,100394,11,3.7329,0
100393,100280,11,9.81531,0
100393,100287,11,6.81133,0
100393,100394,11,0.72483,0
100394,100279,11,8.74964,0
100394,100392,11,3.7329,0
100394,100393,11,0.72483,0
100395,100220,11,0.47265,0
