ATCOCode,Node
6200249391,8710
6200249390,8776
6200249426,8280
6200249425,8649
6200249424,8640
6200249420,8648
6200249545,57767
6200249544,57767
6200249543,8303
6200249542,57765
6200249565,57742
6200249560,57767
6200249555,57767
6200249550,57767
6200249582,57780
6200249580,57764
6200249575,57747
6200249567,57738
6200249590,57758
6200249587,57780
6200249585,57758
6200249584,57764
6200249490,8395
6200249470,8280
6200249465,8284
6200249460,8284
6200249507,57746
6200249505,57746
6200249500,57751
6200249495,57744
6200249516,57761
6200249514,57767
6200249512,57767
6200249510,57767
6200249540,57775
6200249537,8349
6200249530,57775
6200249520,57775
6200249736,8793
6200249732,57792
6200249730,8251
6200249720,8276
6200249755,8259
6200249752,8259
6200249750,8259
6200249740,8017
6200249780,8259
6200249775,8252
6200249770,8259
6200249760,8259
6200249794,8259
6200249792,8259
6200249790,8259
6200249785,8259
6200249625,57758
6200249620,57758
6200249610,57758
6200249600,57758
6200249650,57758
6200249645,57767
6200249640,8433
6200249630,8433
6200249670,8320
6200249660,8321
6200249658,57744
6200249655,8344
6200249710,8423
6200249695,8259
6200249690,8349
6200249680,8349
6200249950,8288
6200249940,8288
6200249935,8288
6200249930,8288
6200249975,8252
6200249970,8252
6200249960,8288
6200249955,8288
6200250050,57577
6200249995,8288
6200249990,8252
6200249980,8252
6200250160,9250
6200250130,9992
6200250070,8814
6200250060,8814
6200249815,8258
6200249810,8273
6200249800,8272
6200249796,8258
6200249845,8254
6200249840,8255
6200249830,8256
6200249820,8257
6200249870,8018
6200249860,8019
6200249850,8245
6200249847,8247
6200249920,8253
6200249900,8252
6200249890,8252
6200249880,8010
627007050100,6773
627007050020,6786
627007050010,6841
627007040290,6841
627007050150,6865
627007050140,6578
627007050130,6865
627007050110,6773
627007060110,6773
627007060100,6773
627007050380,6786
627007050370,6845
627008010030,6833
627008010020,6817
627008010010,6819
627007060140,6578
627007030260,6841
627007030145,6773
627007030107,6578
627007030105,6773
627007040005,6591
627007030290,6841
627007030280,6841
627007030270,6841
627007040107,6578
627007040105,6773
627007040070,6773
627007040060,6852
627007040280,6841
627007040270,6841
627007040260,6841
627007040145,6773
627009010070,6728
627009010060,6556
627009010050,6731
627009010040,6565
627009010110,6685
627009010100,6689
627009010090,6665
627009010080,6687
627009010160,6690
627009010133,6762
627009010130,6703
627009010120,6697
627009010200,6667
627009010195,6682
627009010180,6735
627009010170,6727
627008020020,6817
627008020010,6819
627008010040,6819
627008010035,6893
627008050010,6832
627008020040,6819
627008020035,6893
627008020030,6823
627008060019,6821
627008060010,6832
627008050029,6890
627008050019,6821
627009010030,6727
627009010021,6676
627009010020,6696
627008060029,6891
627009020080,6683
627009020070,6728
627009020060,6556
627009020050,6731
627009020120,6697
627009020110,6685
627009020100,6684
627009020090,6680
627009020160,6690
627009020150,6693
627009020133,6758
627009020130,6699
627009020210,6618
627009020190,6682
627009020180,6735
627009020170,6727
627009010240,6678
627009010230,6666
627009010220,6661
627009010210,6618
627009010260,6811
627009010255,6759
627009010254,6755
627009010250,6644
627009010340,6639
627009010280,6724
627009010276,6820
627009010275,6755
627009020040,6565
627009020030,6724
627009020020,6696
627009010350,6830
627009040270,6751
627009040155,6730
627009040150,6674
627009040140,6693
627009050310,6657
627009050300,6662
627009040330,6727
627009040290,6727
627009050370,6578
627009050360,6874
627009050330,6727
627009050320,6539
627009050410,6807
627009050400,6578
627009050390,6578
627009050380,6624
627009020255,6759
627009020254,6755
627009020250,6644
627009020240,6678
627009020276,6820
627009020275,6755
627009020270,6751
627009020260,6811
627009030030,6724
627009020350,6830
627009020340,6633
627009020280,6724
627009040030,6724
627009030155,6730
627009030150,6673
627009030140,6693
627005020115,6458
627005020083,6441
627005020080,6439
627005020060,6239
627005030016,6221
627005030014,6208
627005030011,6450
627005030010,6466
627005040010,6466
627005030070,6230
627005030020,6473
627005030017,6204
627005040017,6204
627005040016,6221
627005040014,6208
627005040011,6450
627005010035,6223
627005010030,6242
627005010013,6200
627005010008,6442
627005010083,6441
627005010060,6239
627005010050,6243
627005010040,6225
627005020035,6223
627005020030,6242
627005020013,6200
627005010115,6458
627005020055,6456
627005020053,6457
627005020050,6228
627005020040,6234
627006020035,6222
627006020030,6207
627006020020,6217
627006020010,6220
627006020060,6210
627006020055,6210
627006020050,6210
627006020040,6210
627007010003,6578
627006040025,6255
627006030025,6255
627006020070,6207
627007010020,6770
627007010010,6578
627007010007,6578
627007010005,6578
627005050055,6456
627005050010,6195
627005040070,6230
627005040020,6473
627005060100,6467
627005060055,6479
627005060010,6443
627005050100,6467
627006010035,6222
627006010030,6207
627006010020,6217
627006010010,6222
627006010070,6207
627006010055,6210
627006010050,6210
627006010040,6210
627007010240,6841
627007010230,6841
627007010220,6841
627007010210,6841
627007010310,6841
627007010300,6786
627007010255,6791
627007010250,6782
627007010370,6844
627007010360,6840
627007010330,6786
627007010320,6849
627007020005,6578
627007020003,6578
627007010390,6786
627007010375,6857
627007010045,6771
627007010040,6765
627007010030,6766
627007010025,6769
627007010100,6578
627007010090,6578
627007010080,6578
627007010050,6765
627007010160,6792
627007010145,6578
627007010120,6578
627007010110,6763
627007010200,6842
627007010190,6850
627007010180,6775
627007010170,6780
627007020230,6841
627007020220,6841
627007020210,6841
627007020200,6847
627007020340,6786
627007020255,6791
627007020250,6781
627007020240,6841
627007020390,6787
627007020370,6857
627007020365,6843
627007020350,6841
627007030070,6773
627007030060,6852
627007030005,6591
627007020395,6786
627007020025,6769
627007020020,6770
627007020010,6578
627007020007,6578
627007020050,6765
627007020045,6771
