ATCOCode,NAME
6490IM1694,Angus
6490IM1190,Angus
6490IM1191,Angus
6490IM1209,Angus
6490IM803,Angus
6490IM916,Angus
6490IM925,Angus
6490IM18693,Angus
6490IM18695,Angus
6490IM18707,Angus
6490IM18705,Angus
6490IM18889,Angus
6490IM18887,Angus
6490IM11462,Angus
6490IM797,Angus
6490IM800,Angus
6490IM798,Angus
6490IM799,Angus
6490IM11458,Angus
6490IM11464,Angus
6490IM781,Angus
6490IM1237,Angus
6490IM11454,Angus
6490IM11456,Angus
6490IM11460,Angus
649017956,Angus
649017958,Angus
6490IM804,Angus
6490IM1403,Angus
6490IM1429,Angus
6490IM11450,Angus
6490IM782,Angus
6490IM1098,Angus
6490IM194,Angus
6490IM5874,Angus
6490IM11452,Angus
6490IM772,Angus
6490IM926,Angus
6490IM528,Angus
6490IM529,Angus
6490IM245,Angus
6490IM1192,Angus
6490IM1197,Angus
6490IM1198,Angus
6490IM120,Angus
6490IM478,Angus
6490IM480,Angus
6490IM697,Angus
6490IM1679,Angus
6490IM1203,Angus
6490IM1204,Angus
6490IM1205,Angus
6490IM1206,Angus
6490IM1207,Angus
6490IM1208,Angus
6490IM801,Angus
6490IM802,Angus
6490IM9242,Angus
6490IM1092,Angus
6490IM11466,Angus
6490IM1156,Angus
6490IM1157,Angus
6490IM293,Angus
6490IM724,Angus
6490IM487,Angus
6490IM737,Angus
6490IM742,Angus
6490IM359,Angus
6490IM361,Angus
6490IM260,Angus
6490IM261,Angus
6490IM262,Angus
6490IM264,Angus
6490IM1823,Angus
6490IM1725,Angus
6490IM984,Angus
6490IM990,Angus
6490IM991,Angus
6490IM1086,Angus
6490IM9092,Angus
6490IM334,Angus
6490IM189,Angus
6490IM789,Angus
6490IM790,Angus
6490IM791,Angus
6490IM796,Angus
6490IM773,Angus
6490IM774,Angus
6490IM775,Angus
6490IM776,Angus
6490IM777,Angus
6490IM780,Angus
6490IM1436,Angus
6490IM1437,Angus
6490IM910,Angus
6490IM1401,Angus
6490IM1402,Angus
6490IM1404,Angus
6490IM1405,Angus
6490IM141,Angus
6490IM200,Angus
6490IM249,Angus
6490IM492,Angus
6490IM493,Angus
6490IM1780,Angus
6490IM17902,Angus
6490IM17904,Angus
6490IM787,Angus
6490IM1695,Angus
6490IM1305,Angus
6490IM1306,Angus
6490IM134,Angus
6490IM1696,Angus
6490IM1930,Angus
6490IM1235,Angus
6490IM1236,Angus
6490IM430,Angus
6490IM448,Angus
6490IM449,Angus
6490IM1418,Angus
6490IM1419,Angus
6490IM1861,Angus
6490IM1862,Angus
6490IM1879,Angus
6490IM188,Angus
6490TX016,Angus
6490TX017,Angus
6490IM1824,Angus
6490IM622,Angus
6490IM1791,Angus
6490IM1792,Angus
6490IM1795,Angus
6490IM1796,Angus
6490IM1833,Angus
6490IM1834,Angus
6490IM1142,Angus
6490IM1143,Angus
6490IM1964,Angus
6490IM106,Angus
6490IM1705,Angus
6490IM445,Angus
6490IM728,Angus
6490IM736,Angus
6490IM051,Angus
6490IM510,Angus
6490IM778,Angus
6490IM779,Angus
6490IM805,Angus
6490IM806,Angus
6490IM810,Angus
6490IM811,Angus
6490IM1227,Angus
6490IM1228,Angus
6490IM1233,Angus
6490IM1234,Angus
6490IM1438,Angus
6490IM345,Angus
6490IM252,Angus
6490IM253,Angus
6490IM254,Angus
6490IM3305,Angus
6490IM332,Angus
6490IM333,Angus
6490IM1819,Angus
6490IM1820,Angus
6490IM1821,Angus
6490IM1822,Angus
6490IM1413,Angus
6490IM1414,Angus
6490IM1415,Angus
6490IM785,Angus
6490IM786,Angus
6490IM027,Angus
6490IM058,Angus
6490IM980,Angus
6490IM1958,Angus
6490IM1976,Angus
6490IM255,Angus
6490IM256,Angus
6490IM257,Angus
6490IM788,Angus
6490IM247,Angus
6490IM248,Angus
6490IM635,Angus
6490IM2403,Angus
6490IM2404,Angus
6490IM095,Angus
6490IM1772,Angus
6490IM1773,Angus
6490IM1778,Angus
6490IM246,Angus
6490IM1288,Angus
6490IM341,Angus
6490IM342,Angus
6490IM343,Angus
6490IM1266,Angus
6490IM9093,Angus
6490TX001,Angus
6490GOLFSTR0,Angus
6490IM085,Angus
6490IM086,Angus
6490TX006,Angus
6490TX015,Angus
6490IM470,Angus
6490IM1697,Angus
6490IM1700,Angus
6490IM628,Angus
6490IM722,Angus
6490IM723,Angus
6490IM1229,Angus
6490IM1428,Angus
6490IM1974,Angus
6490IM644,Angus
6490IM719,Angus
6490IM010,Angus
6490IM068,Angus
6490IM646,Angus
6490IM368,Angus
6490IM1093,Angus
6490IM645,Angus
6490IM1108,Angus
6490IM533,Angus
6490IM1322,Angus
6490IM532,Angus
6490IM1798,Angus
6490IM1799,Angus
6490IM456,Angus
6490IM035,Angus
6490IM753,Angus
6490IM754,Angus
6490IM755,Angus
6490IM756,Angus
6490IM757,Angus
6490IM758,Angus
6490IM759,Angus
6490IM1966,Angus
6490IM1986,Angus
6490IM1987,Angus
6490IM385,Angus
6490IM391,Angus
6490IM393,Angus
6490IM394,Angus
6490IM398,Angus
6490IM399,Angus
6490IM52,Angus
6490IM520,Angus
6490IM521,Angus
6490IM1802,Angus
6490IM1701,Angus
6490IM1909,Angus
6490IM1900,Angus
6490IM1901,Angus
6490IM1067,Angus
6490IM1068,Angus
6490IM771,Angus
6490IM55,Angus
6490IM1757,Angus
6490IM1269,Angus
6490IM1270,Angus
6490IM1271,Angus
6490IM710,Angus
6490IM765,Angus
6490IM766,Angus
6490IM767,Angus
6490IM769,Angus
6490IM770,Angus
6490IM437,Angus
6490IM440,Angus
6490IM1743,Angus
6490IM269,Angus
6490IM270,Angus
6490IM271,Angus
6490IM452,Angus
6490IM1908,Angus
6490IM1896,Angus
6490IM103,Angus
6490IM1894,Angus
6490IM1895,Angus
6490IM201,Angus
6490IM1803,Angus
6490IM1804,Angus
6490IM1812,Angus
6490IM1813,Angus
6490IM640,Angus
6490IM641,Angus
6490IM642,Angus
6490IM643,Angus
6490IM1331,Angus
6490IM1333,Angus
6490IM1746,Angus
6490IM1756,Angus
6490IM183,Angus
6490IM169,Angus
6490IM1139,Angus
6490IM114,Angus
6490IM1141,Angus
6490IM115,Angus
6490IM1169,Angus
6490IM1954,Angus
6490IM1955,Angus
6490IM1965,Angus
6490IM1222,Angus
6490IM1223,Angus
6490IM1224,Angus
6490IM1225,Angus
6490IM097,Angus
6490IM1007,Angus
6490IM1008,Angus
6490IM152,Angus
6490IM172,Angus
6490IM1291,Angus
6490IM1292,Angus
6490IM1295,Angus
6490IM1097,Angus
6490IM337,Angus
6490IM347,Angus
6490IM1847,Angus
6490IM1052,Angus
6490IM1053,Angus
6490IM1260,Angus
6490IM1261,Angus
6490IM140,Angus
6490IM59,Angus
6490IM090,Angus
6490IM500,Angus
6490TX003,Angus
649018126,Angus
6490IM1216,Angus
6490IM505,Angus
6490IM506,Angus
6490IM1867,Angus
6490IM182,Angus
6490IM1729,Angus
6490IM056,Angus
6490IM061,Angus
6490IM062,Angus
6490IM979,Angus
6490IM987,Angus
6490IM988,Angus
6490IM1217,Angus
6490IM1218,Angus
6490IM1219,Angus
6490IM1069,Angus
6490IM1087,Angus
6490IM1090,Angus
6490IM901,Angus
6490IM1009,Angus
6490IM102,Angus
6490IM1021,Angus
6490IM1022,Angus
6490IM076,Angus
6490IM637,Angus
6490IM750,Angus
6490IM627,Angus
6490IM943,Angus
6490IM009,Angus
6490IM1103,Angus
6490IM9148,Angus
6490IM9150,Angus
6490IM1154,Angus
6490IM1104,Angus
6490IM1883,Angus
6490IM1884,Angus
6490IM292,Angus
6490IM294,Angus
649017991,Angus
6490IM1063,Angus
6490IM1064,Angus
6490IM1065,Angus
6490IM1066,Angus
6490IM17778,Angus
6490IM1781,Angus
6490IM1782,Angus
6490IM450,Angus
6490IM176,Angus
6490IM1760,Angus
6490IM1761,Angus
6490IM636,Angus
6490IM638,Angus
6490IM760,Angus
6490IM763,Angus
6490IM764,Angus
6490IM491,Angus
6490IM022,Angus
6490IM026,Angus
6490IM028,Angus
6490IM752,Angus
6490IM442,Angus
6490IM1777,Angus
6490IM013,Angus
6490IM912,Angus
6490IM918,Angus
6490IM924,Angus
6490IM933,Angus
6490IM936,Angus
6490IM668,Angus
649017993,Angus
6490IM1935,Angus
6490IM3334,Angus
6490IM3335,Angus
6490IM481,Angus
6490IM682,Angus
6490IM161,Angus
6490IM162,Angus
6490IM165,Angus
6490IM1131,Angus
6490IM1330,Angus
6490IM1866,Angus
6490IM938,Angus
6490IM426,Angus
6490IM1814,Angus
6490IM422,Angus
6490IM397,Angus
6490IM1815,Angus
6490IM1721,Angus
6490IM144,Angus
6490IM145,Angus
6490IM053,Angus
6490IM1685,Angus
6490IM1722,Angus
