SName,TIPLOC,Alpha,Data_Source,EASTING,NORTHING,Cube_Node
MONKWEARMOUTH S.B.,SNDRMSB,0,MCA,439587,557775,999999
MONMORE GREEN,MNMRGRN,0,MCA,392796,297630,999999
MONTPELIER,MONPELR,MTP,MSN,359245,174537,999999
MONTROSE,MONTRSE,MTS,MSN,371192,758014,100099
MONTROSE DOWN THRO' SDG,MONTDTS,0,MCA,371192,758014,888888
MONTROSE EWS,MONTEWS,0,MCA,371209,757880,888888
MONTROSE SOUTH,MONTRSS,0,MCA,371094,757653,888888
MONUMENT LANE,MNMNTLA,0,MCA,405630,286925,999999
MOOR PARK,MOORPK,0ZM,MCA,508635,193430,999999
MOORFIELDS,MORFLDS,MRF,MSN,334341,390660,999999
MOORFIELDS,MORFNL,MRF,MSN,334263,390636,999999
MOORGATE,MRGT,MOG,MSN,532690,181670,999999
MOORS GORSE L.C.,HDNSMOO,0,MCA,402295,315078,999999
MOORSIDE,MRSD,MSD,MSN,376710,402244,999999
MOORSWATER ECC SDGS IMERYS,COOMMOR,0,MCA,223426,64285,999999
MOORSWATER LAFARGE,COOMLAR,0,MCA,223425,64286,999999
MOORTHORPE,MORTHRP,MRP,MSN,446106,411157,999999
MOORTHORPE GOODS LOOP,MORTHGL,0,MCA,446170,410863,999999
MOORTHORPE SOUTH JN,MORTHSJ,0,MCA,446106,411157,999999
MORAR,MORAR,MRR,MSN,167784,792910,100050
MORCHARD ROAD,MOCHARD,MRD,MSN,275021,105072,999999
MORDEN SOUTH,MORDENS,MDS,MSN,525363,167864,999999
MORECAMBE,MORCAME,MCM,MSN,343254,464168,999999
MORECAMBE JN G.F.,MORCJGF,0,MCA,343567,464161,999999
MORECAMBE SOUTH JN,MORCMSJ,0,MCA,346393,464676,999999
MORETON (DORSET),MORETON,MTN,MSN,377899,89109,999999
MORETON (MERSEYSIDE),MOTO,MRT,MSN,326078,390626,999999
MORETON CUTTING,MRTNCUT,0,MCA,454916,189298,999999
MORETON-IN-MARSH,MINMARS,MIM,MSN,420669,232699,999999
MORETON-ON-LUGG,MRTNONL,0,MCA,351081,246195,999999
