NAME,TIPLOC,EASTING,NORTHING
Singer,SINGER,249710,670887
Slateford,SLATEFD,322412,671118
South Gyle,STHGYLE,318895,672272
Spean Bridge,SPEANBD,222186,781423
Springburn,SPRNGBN,260614,667639
Springfield,SPFD,334946,711898
Stepps,STEPPS,266194,668402
Stevenston,STVNSTN,226973,641285
Stewarton,STEWRTN,241776,646054
Stirling,STIRLNG,279801,693596
Stoenhaven,SHVN,386408,786214
Stonehaven,SHVN,386408,786214
Stow,STOW,345563,644697
Stranraer,STRNRR,206223,561344
Strathcarron,STCN,194246,842156
Stromeferry,STRMFRY,186530,834639
Summerston,SUMRSTN,256797,669676
Tain,TAIN,278177,882396
Taynuilt,TAYNULT,200289,731232
Thornliebank,THLB,255247,659926
Thorntonhall,THAL,258916,655050
Thurso,THURSO,311293,967899
Troon,TROON,232530,630900
Tulloch,TULLOCH,235486,780217
Tweedbank,TWDBANK,352423,634893
Tyndrum Lower,TYNDRML,232753,730146
Uddingston,UDNGSTN,269386,660896
Uphall,UPHALL,306220,670566
Upper Tyndrum,TYNDRMU,233389,730205
Wallyford,WALLYFD,336603,672338
Wemyss Bay,WEMYSSB,219344,668575
West Calder,WCALDER,301946,663370
West Kilbride,WKILBRD,220899,648492
Wester Hailes,WHAILES,319805,669757
Westerton,WESTRTN,254103,670441
Whifflet,WHIFLET,273751,664128
Whinhill,WHINH,228535,675120
Whitecraigs,WTCR,255205,657630
Wick,WICK,336025,950890
Williamwood,WMWD,256530,658005
Wishaw,WISHAW,279221,654917
Woodhall,WHHL,234179,674104
Yoker,YOKER,250807,669218
