ATCOCode,Node
090002060546,55478
090002060547,55478
090002060548,55478
090002060549,55478
090002071245,55487
090002071968,55475
090002072301,55475
090002101351,55487
090002101352,55487
090002220408,55478
090002220409,55478
090002220410,55478
090002220411,55478
090002220412,55478
090002220413,55478
090002220414,55478
090002220415,55478
090002220416,55478
090002220417,55478
090002220418,55478
090002220419,55478
090002221153,55478
090002150064,55477
090002150065,55477
090002150379,55477
090002150385,55477
090002150386,55477
090002150387,55477
090002150388,55477
090002150389,55477
090002322701,55487
090002341805,55475
090002342775,55475
090002351318,55475
090002450394,55477
090002461468,55475
090002470261,55470
090002470287,55471
090002470291,55470
090002512957,55487
090002512963,55487
090002512964,55487
090002430314,55475
090002430320,55475
090002430321,55475
090002430325,55475
090002430326,55475
090002430328,55475
090002430330,55475
090002471244,55470
090002481456,55487
090002491737,3649
090002491791,3649
090002491886,55475
090002492079,55475
090002590032,55474
090002590033,55470
090002382254,55487
090002391474,55487
090002391693,55487
090002400053,55476
090002400360,55476
090002470292,55471
090002470293,55470
090002470296,55470
090002470300,55470
090002492083,55475
090002432404,55475
090002430358,55475
090002431471,55475
090002431939,55475
090002431988,55475
090002432026,55475
090002432053,55475
090002312128,55475
090002321686,55487
090002321687,55487
090002321850,55487
090002531732,55487
090002532851,55487
090002561445,55487
090002561582,55487
090002561725,55487
090002561730,55487
090002561731,55487
090002561751,55487
090002511665,55487
090002300368,55476
090002442812,55475
090002442833,55475
090002470327,55470
090002511666,55487
090002511940,55487
090002511945,55487
090002470315,55471
090002470317,55471
090002492103,55475
090002492392,55475
090002492685,55475
090002590185,55471
090002590186,55471
090002590188,55471
090002590036,55471
090002590039,55471
090002590040,55471
090002590178,55474
090002590179,55474
090002590180,55474
090002590181,55471
090002590182,55474
090002400361,55476
090002400366,55476
090002430299,55470
090002430313,55475
090002562816,55487
090002562922,55487
090002581789,55487
090002432794,55475
090002432834,55475
090002441320,55475
090002441771,55475
090002442074,55475
090002442095,55475
090002511407,55487
090002511408,55487
090002511457,55487
090002562628,55487
090002562729,55487
090002562743,55487
090002321908,55487
090002322241,55487
090002512117,55487
090002512954,55487
